id,size,weight,departure_time,type,slot
VALID_3163_78B3,20,4.2,2026-04-25,import,C-006-C-05
VALID_9716_9BB7,40,24.4,2026-04-21 19:18:40,import,B-011-A-02
VALID_5437_5FF9,20,37.8,2026-04-12T19:18:40.714200,transshipment,A-015-C-04
NULL_5967_903E,20,15.0,,import,Z-000-Z-00
VALID_7444_3935,20,44.6,04/17/2026 19:18,import,B-011-C-03
VALID_9201_8C96,40,9.4,2026-04-21 19:18:40,import,C-019-A-01
PAST_9465_4E10,20,12.0,03/21/2026 19:18,import,P-001-P-01
FMT_1810_4374,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_1927_EC65,20,41.5,2026-04-15T19:18:40.718418,export,D-013-C-02
VALID_5489_29D6,40,44.1,2026-04-17,import,C-002-B-03
VALID_4190_C4ED,40,18.8,2026-04-17 19:18:40,export,C-018-B-01
VALID_8992_92F7,20,13.4,2026-04-19T19:18:40.706583,export,A-004-C-05
VALID_7298_2883,20,30.6,2026-04-16,export,E-006-C-01
VALID_8876_BE5A,20,32.2,2026-04-14 19:18:40,transshipment,E-012-B-02
VALID_5071_3616,20,13.4,2026-04-20,import,A-018-A-02
VALID_2825_451B,20,38.0,2026-04-19,export,A-008-B-02
VALID_5514_C688,40,22.6,2026-04-21T19:18:40.722915,import,A-009-A-05
NULL_8005_8C8F,,15.0,04/16/2026 19:18,import,Z-000-Z-00
VALID_3069_F3C3,20,18.2,2026-04-12,transshipment,D-016-C-05
VALID_3605_0A20,20,44.6,2026-04-15,export,A-007-B-03
VALID_2386_B34F,40,11.3,04/14/2026 19:18,transshipment,B-014-A-04
VALID_1047_85A3,40,42.6,2026-04-14,export,D-006-B-03
VALID_3472_39C5,20,32.7,04/13/2026 19:18,transshipment,B-002-C-05
VALID_3495_0754,40,3.9,2026-04-13,transshipment,D-019-C-04
VALID_6085_008C,20,20.2,04/16/2026 19:18,import,D-006-C-02
VALID_1074_A066,20,14.4,2026-04-17,export,E-005-A-02
VALID_1247_AB3A,40,4.6,2026-04-12 19:18:40,transshipment,D-010-C-04
PAST_1153_EF69,20,12.0,2026-03-22 19:18:40,import,P-001-P-01
HIGH_W_4291_2140,40,150.0,2026-04-16 19:18:40,export,X-002-X-02
VALID_6253_67C7,20,5.3,2026-04-15,export,B-012-C-03
VALID_8994_D4FB,40,26.3,04/12/2026 19:18,transshipment,D-019-B-01
FMT_6104_C7DD,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_7174_F165,20,44.4,2026-04-18,import,A-006-A-05
VALID_5157_02E5,20,31.8,2026-04-23 19:18:40,import,C-006-A-04
NULL_7790_F0F7,20,,2026-04-16,import,Z-000-Z-00
VALID_1679_39EC,40,14.0,04/14/2026 19:18,export,E-012-C-04
VALID_2273_DC5F,20,21.7,2026-04-13,transshipment,D-003-C-03
VALID_9510_4E71,40,7.7,2026-04-23T19:18:40.723875,import,C-011-A-04
VALID_3876_FA77,40,27.2,2026-04-14T19:18:40.711695,export,D-014-C-03
VALID_8567_77D1,20,29.5,2026-04-23,import,D-013-A-03
VALID_3676_96CC,40,7.3,04/12/2026 19:18,transshipment,C-012-A-05
VALID_9415_ABDA,40,44.4,2026-04-12,transshipment,B-008-B-04
VALID_1158_1BB2,20,12.1,2026-04-22 19:18:40,import,A-016-A-03
VALID_4067_E623,20,15.0,2026-04-15T19:18:40.710002,export,B-020-B-04
HIGH_W_8896_0FE3,40,150.0,2026-04-16T19:18:40.729710,export,X-002-X-02
VALID_4254_FE32,20,9.4,2026-04-18T19:18:40.720679,import,C-005-C-04
VALID_9815_1B12,40,21.5,2026-04-15T19:18:40.708527,export,A-006-B-01
VALID_9503_8BB5,20,9.8,2026-04-13,transshipment,B-001-B-03
VALID_7734_81EC,20,40.0,2026-04-16,import,C-009-A-01
VALID_7172_AC50,20,16.1,2026-04-17,export,C-009-B-01
VALID_7039_689E,20,41.0,2026-04-13 19:18:40,transshipment,D-016-B-05
PAST_5976_EE4C,20,12.0,2026-03-20,import,P-001-P-01
VALID_9461_43C2,20,8.6,2026-04-21 19:18:40,import,E-005-A-04
VALID_7642_FFCA,40,17.1,2026-04-21 19:18:40,import,A-005-A-05
VALID_9887_B07B,20,9.9,2026-04-12,transshipment,B-003-C-02
VALID_9637_6FDB,20,25.1,04/13/2026 19:18,transshipment,E-018-B-05
VALID_8635_7825,20,16.5,2026-04-19T19:18:40.707014,export,C-006-A-02
VALID_3895_5E4E,20,35.3,04/13/2026 19:18,transshipment,B-001-C-05
VALID_8005_5396,20,24.0,2026-04-12 19:18:40,transshipment,B-006-A-03
DUP_1789_44E7,20,20.0,2026-04-16T19:18:40.729539,import,D-000-D-00
VALID_2108_1C98,40,29.5,04/14/2026 19:18,transshipment,A-016-B-03
VALID_6869_C2B7,20,36.6,04/15/2026 19:18,export,C-020-A-02
VALID_8630_07B8,20,8.0,2026-04-19,export,D-004-A-04
LOW_W_6910_27F8,20,0.5,2026-04-16,import,X-001-X-01
FMT_7252_DCB4,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_4896_71C3,20,22.8,2026-04-15 19:18:40,export,D-018-A-01
DUP_1651_B8D9,20,20.0,2026-04-16T19:18:40.729582,import,D-000-D-00
DUP_7451_B4D2,40,20.0,2026-04-16 19:18:40,import,D-000-D-00
VALID_9510_606D,40,27.8,2026-04-12,transshipment,D-012-B-05
VALID_6988_5E3E,40,41.1,2026-04-20 19:18:40,import,D-018-B-01
VALID_4451_DD88,40,28.7,2026-04-12,transshipment,E-011-C-02
PAST_8445_1007,20,12.0,2026-04-06 19:18:40,import,P-001-P-01
NULL_2133_87E4,,15.0,2026-04-16T19:18:40.728658,import,Z-000-Z-00
VALID_4440_7818,40,12.5,2026-04-12,transshipment,A-002-C-05
VALID_2085_30A9,40,4.6,2026-04-16,export,E-020-B-04
VALID_2534_C058,40,25.2,2026-04-13,transshipment,D-003-A-04
VALID_8932_7A27,20,43.2,04/22/2026 19:18,import,A-016-C-01
PAST_6361_8E51,20,12.0,2026-03-27 19:18:40,import,P-001-P-01
VALID_1343_BB75,20,11.3,2026-04-18,export,E-015-C-01
VALID_4900_D80E,20,29.8,04/19/2026 19:18,export,B-015-A-04
VALID_6466_47CF,40,17.7,2026-04-22,import,D-004-A-04
VALID_1099_92F6,40,29.6,04/14/2026 19:18,export,C-013-B-04
VALID_1070_AC75,40,43.2,2026-04-13T19:18:40.712764,transshipment,A-001-B-05
VALID_6477_F7B5,20,12.8,04/13/2026 19:18,transshipment,D-016-A-03
VALID_4438_57D5,40,6.7,2026-04-13 19:18:40,transshipment,B-016-C-04
VALID_2048_64A1,40,8.5,2026-04-16T19:18:40.727541,export,A-017-C-01
VALID_9052_F33B,40,41.0,04/12/2026 19:18,transshipment,D-018-C-05
SIZE_9623_8594,45,25.0,2026-04-16T19:18:40.730395,transshipment,X-003-X-03
DUP_5928_67D1,20,20.0,2026-04-16T19:18:40.729465,import,D-000-D-00
VALID_7270_BD99,20,28.3,2026-04-12,transshipment,C-008-A-02
VALID_2007_689A,40,33.2,2026-04-18 19:18:40,export,B-004-B-02
VALID_3922_06B3,40,44.0,2026-04-23,import,A-011-A-01
FMT_4582_8715,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_8167_2925,20,42.4,04/18/2026 19:18,export,B-003-A-03
VALID_2714_AB82,40,22.7,2026-04-15,export,C-015-A-02
VALID_2060_E9D4,20,34.5,04/13/2026 19:18,transshipment,B-008-C-05
VALID_1170_4465,40,34.1,2026-04-17 19:18:40,export,C-015-B-01
VALID_5489_69E0,20,33.4,2026-04-14 19:18:40,transshipment,D-002-A-05
VALID_8888_56AE,20,39.8,2026-04-15 19:18:40,export,C-001-A-02
VALID_2304_0EDC,20,14.4,04/19/2026 19:18,export,C-008-C-04
,20,15.0,04/16/2026 19:18,import,Z-000-Z-00
VALID_3713_8443,40,39.4,2026-04-17,import,B-019-B-01
VALID_9715_ED13,40,3.8,2026-04-14 19:18:40,export,A-005-A-02
VALID_6763_C503,20,17.9,04/12/2026 19:18,transshipment,D-003-A-02
VALID_8779_C961,20,37.7,2026-04-12T19:18:40.727146,transshipment,B-008-A-02
VALID_8961_EF61,40,41.3,04/13/2026 19:18,transshipment,E-003-A-04
VALID_9372_F49B,20,12.5,2026-04-14,transshipment,A-005-B-04
VALID_4019_E1A8,40,41.3,04/18/2026 19:18,export,C-010-C-03
VALID_5717_8D81,40,38.1,04/16/2026 19:18,export,C-009-B-02
VALID_6797_C2C8,20,4.1,04/19/2026 19:18,export,C-007-A-02
VALID_6169_6315,40,39.4,2026-04-14 19:18:40,transshipment,E-019-A-04
VALID_7790_2C3A,20,5.9,2026-04-14T19:18:40.708396,transshipment,E-007-B-05
VALID_1715_2B8F,40,37.2,2026-04-15,export,B-015-C-02
VALID_2079_7A66,40,43.6,2026-04-16 19:18:40,export,C-005-C-02
VALID_4273_0363,40,6.8,04/14/2026 19:18,transshipment,E-018-A-01
VALID_1155_5468,20,20.8,2026-04-17,export,C-008-B-02
VALID_6239_491A,40,8.4,2026-04-17T19:18:40.717597,export,C-020-B-04
VALID_4044_2ABB,20,11.8,04/14/2026 19:18,transshipment,E-014-C-01
DUP_7861_DA3F,20,20.0,2026-04-16,import,D-000-D-00
VALID_1155_7657,40,36.2,2026-04-21 19:18:40,import,E-009-C-05
VALID_3713_3D61,40,13.8,2026-04-13T19:18:40.708269,transshipment,D-019-A-02
VALID_5987_DE93,20,4.5,04/24/2026 19:18,import,D-012-C-05
VALID_5651_8E48,40,16.0,04/23/2026 19:18,import,B-003-A-02
VALID_1045_3311,20,36.3,2026-04-25 19:18:40,import,E-012-B-04
FMT_2217_EFBD,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
DUP_7879_45E5,40,20.0,2026-04-16T19:18:40.729473,import,D-000-D-00
VALID_8239_52BD,40,40.3,2026-04-12,transshipment,C-002-C-04
VALID_2870_8E34,20,23.3,2026-04-15T19:18:40.725314,export,B-010-A-05
VALID_6056_76B9,40,11.6,04/18/2026 19:18,export,A-015-B-04
DUP_3239_1EE1,40,20.0,04/16/2026 19:18,import,D-000-D-00
TYPE_4369_214B,20,10.0,2026-04-16 19:18:40,lost_cargo,X-004-X-04
FMT_2622_2CAA,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_8170_3DFE,40,26.8,2026-04-13,transshipment,E-012-B-03
VALID_5276_77EB,40,5.6,04/12/2026 19:18,transshipment,A-017-C-04
VALID_3730_F11A,20,19.0,2026-04-14 19:18:40,export,E-001-B-03
VALID_2686_5FCA,40,19.4,2026-04-14T19:18:40.715910,transshipment,B-017-B-01
LOW_W_8860_D3FD,20,0.5,04/16/2026 19:18,import,X-001-X-01
VALID_8678_5635,20,16.4,2026-04-18T19:18:40.712550,import,B-020-B-04
PAST_2039_65FE,20,12.0,2026-03-23 19:18:40,import,P-001-P-01
VALID_6744_E454,40,21.2,2026-04-16 19:18:40,import,B-012-B-01
TYPE_4260_65FE,20,10.0,04/16/2026 19:18,lost_cargo,X-004-X-04
VALID_5494_7D37,40,42.8,2026-04-23 19:18:40,import,B-002-A-03
VALID_6563_B8AF,20,40.2,2026-04-13T19:18:40.712964,transshipment,B-004-A-03
VALID_6918_C08D,20,6.4,2026-04-12T19:18:40.723160,transshipment,E-008-A-01
VALID_5163_E301,20,15.5,2026-04-15,export,D-012-A-04
VALID_8202_143B,20,40.1,2026-04-22,import,D-013-B-03
HIGH_W_4152_F99C,40,150.0,04/16/2026 19:18,export,X-002-X-02
VALID_6528_E2FA,40,29.6,04/19/2026 19:18,import,E-015-B-03
VALID_2976_509E,40,28.3,2026-04-20 19:18:40,import,E-020-A-03
VALID_3031_772C,20,32.6,04/19/2026 19:18,export,D-003-B-05
VALID_2694_E351,20,4.6,2026-04-14T19:18:40.723182,transshipment,C-017-B-05
VALID_1520_16B5,40,38.9,2026-04-19T19:18:40.716461,export,A-016-B-05
VALID_6166_A60F,40,3.8,04/17/2026 19:18,export,C-019-C-03
VALID_9821_A8D7,40,36.5,2026-04-21,import,B-010-C-05
VALID_4960_67FF,40,37.9,2026-04-19T19:18:40.708345,export,B-015-B-01
VALID_7664_FD10,20,44.4,2026-04-14T19:18:40.716090,transshipment,D-002-B-05
VALID_8235_FCFD,40,2.3,2026-04-18T19:18:40.724768,import,C-013-C-03
VALID_3630_9A22,40,18.3,2026-04-14 19:18:40,export,C-011-C-05
VALID_7257_777C,40,33.1,2026-04-16,import,A-005-B-02
VALID_5881_3621,20,5.5,2026-04-24T19:18:40.712278,import,E-001-A-01
VALID_3628_3B55,40,39.3,04/16/2026 19:18,import,C-007-C-02
VALID_6293_C9C4,40,37.0,2026-04-25T19:18:40.715584,import,C-008-A-01
VALID_5878_35DE,40,21.7,04/12/2026 19:18,transshipment,A-018-C-01
FMT_8261_3414,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
DUP_8926_5F3A,40,20.0,2026-04-16 19:18:40,import,D-000-D-00
PAST_5959_63B9,20,12.0,2026-03-20T19:18:40.730854,import,P-001-P-01
VALID_2416_D8B4,20,5.0,2026-04-18,export,E-017-C-02
PAST_5468_9CEE,20,12.0,04/01/2026 19:18,import,P-001-P-01
VALID_4734_4932,20,14.6,2026-04-19,export,E-020-C-02
VALID_5273_1888,20,26.0,2026-04-17 19:18:40,export,E-018-C-05
HIGH_W_8120_7301,40,150.0,04/16/2026 19:18,export,X-002-X-02
VALID_8807_CB36,20,18.0,2026-04-19,export,C-008-C-01
VALID_4197_D40D,40,8.7,2026-04-19 19:18:40,import,B-004-C-03
VALID_6666_1F96,40,23.3,2026-04-14T19:18:40.723787,export,A-006-B-04
VALID_5688_6C4C,20,30.6,2026-04-14 19:18:40,export,E-014-B-04
VALID_3111_CA81,40,31.6,2026-04-16,import,A-011-A-05
VALID_3528_6D15,40,39.3,2026-04-18,export,A-019-C-05
VALID_3849_FEBA,20,3.0,2026-04-18,import,E-015-B-02
