id,size,weight,departure_time,type,slot
VALID_3483_85F4,20,29.1,2026-04-14T19:18:40.675008,transshipment,A-006-C-05
NULL_6694_53F3,,15.0,2026-04-16 19:18:40,import,Z-000-Z-00
PAST_9684_B101,20,12.0,2026-03-14T19:18:40.696888,import,P-001-P-01
VALID_5929_5C1D,20,31.3,2026-04-14 19:18:40,export,A-005-B-02
VALID_7153_A90F,40,8.5,2026-04-15 19:18:40,export,A-008-A-02
LOW_W_9850_4280,20,0.5,04/16/2026 19:18,import,X-001-X-01
DUP_7256_256C,20,20.0,2026-04-16 19:18:40,import,D-000-D-00
VALID_7019_2A32,20,10.8,04/12/2026 19:18,transshipment,A-008-B-04
TYPE_9299_2E24,20,10.0,2026-04-16T19:18:40.696341,lost_cargo,X-004-X-04
VALID_5144_B059,20,29.4,2026-04-12 19:18:40,transshipment,D-010-A-05
,20,15.0,04/16/2026 19:18,import,Z-000-Z-00
VALID_3269_C478,40,17.1,04/17/2026 19:18,export,A-008-B-05
VALID_2981_18E7,20,42.0,04/19/2026 19:18,export,A-017-C-01
FMT_6415_FE09,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_9899_C640,40,20.9,04/12/2026 19:18,transshipment,B-014-C-05
VALID_7562_892C,40,21.0,2026-04-20 19:18:40,import,C-011-B-05
HIGH_W_5943_8D36,40,150.0,2026-04-16 19:18:40,export,X-002-X-02
VALID_1783_2B86,40,15.3,2026-04-16,export,C-005-C-02
VALID_3497_B80C,40,9.3,2026-04-15T19:18:40.690427,export,E-012-B-03
FMT_6259_F09B,40,30.0,INVALID_DATE_STRING,transshipment,GHOST_SLOT
VALID_2376_4E73,20,22.3,04/19/2026 19:18,export,B-001-B-03
NULL_4583_2943,20,,04/16/2026 19:18,import,Z-000-Z-00
VALID_9409_2672,20,36.1,2026-04-16 19:18:40,import,B-010-C-04
PAST_6474_1917,20,12.0,2026-04-08T19:18:40.697173,import,P-001-P-01
VALID_1602_5E4A,40,13.2,04/16/2026 19:18,export,E-009-B-03
VALID_3578_19E5,40,42.7,2026-04-21 19:18:40,import,A-015-A-04
