id,size,weight,departure_time,type
NEW-0000,40,19.7,2026-04-25T14:00:00,transshipment
NEW-0001,40,11.9,2026-05-05T16:00:00,export
NEW-0002,20,10.1,2026-04-14T02:00:00,transshipment
NEW-0003,40,12.2,2026-04-22T12:00:00,import
NEW-0004,40,15.4,2026-04-18T22:00:00,import
NEW-0005,20,27.1,2026-04-18T07:00:00,import
NEW-0006,20,15.0,2026-04-23T22:00:00,export
NEW-0007,40,16.8,2026-05-05T07:00:00,import
NEW-0008,40,6.7,2026-04-24T23:00:00,import
NEW-0009,20,15.6,2026-04-12T03:00:00,export
NEW-0010,40,6.6,2026-04-18T05:00:00,transshipment
NEW-0011,40,17.9,2026-05-08T02:00:00,import
NEW-0012,40,14.0,2026-04-26T02:00:00,transshipment
NEW-0013,20,5.5,2026-04-27T03:00:00,export
NEW-0014,40,28.8,2026-04-19T23:00:00,import
NEW-0015,20,11.2,2026-05-01T03:00:00,export
NEW-0016,40,20.4,2026-05-04T03:00:00,import
NEW-0017,40,5.2,2026-04-21T11:00:00,export
NEW-0018,40,12.1,2026-04-28T20:00:00,import
NEW-0019,40,20.3,2026-04-19T01:00:00,import
NEW-0020,40,12.6,2026-05-06T19:00:00,import
NEW-0021,20,26.4,2026-04-27T01:00:00,import
NEW-0022,40,19.1,2026-04-30T03:00:00,export
NEW-0023,40,27.3,2026-04-15T01:00:00,transshipment
NEW-0024,40,13.6,2026-04-25T14:00:00,transshipment
NEW-0025,40,25.3,2026-04-15T07:00:00,export
NEW-0026,20,28.2,2026-04-22T01:00:00,import
NEW-0027,40,23.0,2026-04-23T10:00:00,transshipment
NEW-0028,40,27.3,2026-04-11T10:00:00,export
NEW-0029,20,7.3,2026-04-11T13:00:00,import
NEW-0030,20,13.1,2026-05-07T17:00:00,export
NEW-0031,40,23.4,2026-05-06T01:00:00,import
NEW-0032,40,23.4,2026-04-20T19:00:00,transshipment
NEW-0033,20,14.6,2026-05-07T11:00:00,transshipment
NEW-0034,40,13.1,2026-04-23T14:00:00,import
NEW-0035,40,22.8,2026-05-05T00:00:00,transshipment
NEW-0036,40,21.2,2026-04-18T03:00:00,import
NEW-0037,40,27.8,2026-05-04T18:00:00,export
NEW-0038,40,12.0,2026-05-10T17:00:00,import
NEW-0039,40,10.8,2026-04-15T08:00:00,export
NEW-0040,20,7.6,2026-05-08T22:00:00,transshipment
NEW-0041,20,12.2,2026-05-09T18:00:00,export
NEW-0042,20,27.7,2026-05-02T00:00:00,export
NEW-0043,20,27.0,2026-04-29T16:00:00,import
NEW-0044,40,13.0,2026-04-19T09:00:00,transshipment
NEW-0045,20,24.6,2026-05-10T15:00:00,transshipment
NEW-0046,20,13.3,2026-04-11T00:00:00,import
NEW-0047,40,19.7,2026-04-27T12:00:00,transshipment
NEW-0048,40,28.5,2026-04-25T17:00:00,export
NEW-0049,40,10.1,2026-04-16T14:00:00,export
NEW-0050,40,7.0,2026-04-18T22:00:00,transshipment
NEW-0051,40,7.9,2026-05-10T03:00:00,export
NEW-0052,40,13.5,2026-04-28T10:00:00,import
NEW-0053,40,22.6,2026-05-01T02:00:00,import
NEW-0054,20,19.8,2026-04-19T15:00:00,transshipment
NEW-0055,20,23.3,2026-05-10T00:00:00,transshipment
NEW-0056,20,14.5,2026-04-20T20:00:00,import
NEW-0057,20,29.5,2026-04-17T12:00:00,import
NEW-0058,20,27.2,2026-04-28T09:00:00,export
NEW-0059,20,11.2,2026-04-12T05:00:00,import
NEW-0060,20,27.2,2026-04-17T05:00:00,transshipment
NEW-0061,40,11.7,2026-04-13T17:00:00,transshipment
NEW-0062,20,14.5,2026-04-16T13:00:00,export
NEW-0063,20,14.1,2026-04-26T07:00:00,import
NEW-0064,40,17.4,2026-04-27T01:00:00,transshipment
NEW-0065,40,8.3,2026-04-11T15:00:00,import
NEW-0066,20,19.0,2026-05-09T07:00:00,import
NEW-0067,40,26.3,2026-05-06T21:00:00,transshipment
NEW-0068,40,14.7,2026-04-18T09:00:00,export
