id,size,weight,departure_time,type
NEW-0000,40,24.7,2026-04-20T10:00:00,export
NEW-0001,20,6.2,2026-05-04T10:00:00,transshipment
NEW-0002,20,28.0,2026-04-25T16:00:00,import
NEW-0003,20,16.9,2026-04-29T06:00:00,export
NEW-0004,40,20.9,2026-04-30T08:00:00,export
NEW-0005,20,6.9,2026-04-14T18:00:00,import
NEW-0006,20,22.1,2026-04-30T22:00:00,export
NEW-0007,40,10.4,2026-05-07T15:00:00,export
NEW-0008,40,26.1,2026-04-14T07:00:00,transshipment
NEW-0009,40,26.0,2026-04-24T05:00:00,import
NEW-0010,20,18.4,2026-04-27T06:00:00,export
NEW-0011,40,26.8,2026-04-14T22:00:00,export
NEW-0012,20,14.0,2026-04-16T23:00:00,import
NEW-0013,40,28.1,2026-04-21T18:00:00,transshipment
NEW-0014,20,19.4,2026-05-07T05:00:00,export
NEW-0015,20,16.1,2026-04-22T04:00:00,import
NEW-0016,20,9.3,2026-04-24T03:00:00,export
NEW-0017,20,21.9,2026-04-19T09:00:00,export
NEW-0018,40,22.1,2026-04-19T02:00:00,import
NEW-0019,20,20.4,2026-04-28T02:00:00,export
NEW-0020,20,19.2,2026-04-11T19:00:00,import
NEW-0021,40,28.3,2026-05-06T20:00:00,export
NEW-0022,40,16.3,2026-05-07T13:00:00,import
NEW-0023,20,20.4,2026-04-19T17:00:00,transshipment
NEW-0024,20,9.1,2026-05-10T12:00:00,transshipment
NEW-0025,20,15.7,2026-05-01T17:00:00,export
NEW-0026,20,21.5,2026-04-27T06:00:00,import
NEW-0027,40,15.2,2026-04-21T12:00:00,export
NEW-0028,40,15.9,2026-04-26T07:00:00,import
NEW-0029,20,13.6,2026-04-15T13:00:00,transshipment
NEW-0030,40,29.5,2026-04-18T19:00:00,import
NEW-0031,20,6.9,2026-04-26T15:00:00,import
NEW-0032,20,12.0,2026-05-07T14:00:00,export
NEW-0033,40,29.6,2026-05-10T16:00:00,export
NEW-0034,20,23.9,2026-05-02T04:00:00,import
NEW-0035,20,10.7,2026-04-29T06:00:00,transshipment
NEW-0036,40,10.1,2026-05-10T09:00:00,import
NEW-0037,20,25.1,2026-04-14T23:00:00,transshipment
NEW-0038,20,7.4,2026-05-05T04:00:00,export
NEW-0039,20,8.0,2026-04-17T16:00:00,export
NEW-0040,40,10.3,2026-05-01T19:00:00,transshipment
NEW-0041,40,8.7,2026-04-11T12:00:00,import
NEW-0042,20,15.9,2026-04-13T11:00:00,export
NEW-0043,20,23.4,2026-05-09T08:00:00,import
NEW-0044,20,8.5,2026-04-17T05:00:00,import
NEW-0045,20,29.8,2026-04-20T08:00:00,transshipment
NEW-0046,40,30.0,2026-05-08T08:00:00,export
NEW-0047,20,29.4,2026-04-19T06:00:00,import
NEW-0048,20,6.8,2026-05-05T21:00:00,export
NEW-0049,40,14.0,2026-04-22T17:00:00,export
NEW-0050,20,20.4,2026-04-12T17:00:00,export
NEW-0051,20,18.1,2026-04-25T07:00:00,import
NEW-0052,40,17.0,2026-05-10T18:00:00,import
NEW-0053,40,14.4,2026-04-26T01:00:00,export
NEW-0054,20,19.4,2026-04-27T05:00:00,transshipment
NEW-0055,40,13.3,2026-05-01T14:00:00,import
NEW-0056,40,18.6,2026-04-11T15:00:00,import
NEW-0057,40,7.7,2026-04-30T17:00:00,import
NEW-0058,40,13.7,2026-04-19T19:00:00,export
NEW-0059,20,15.3,2026-04-28T04:00:00,export
NEW-0060,20,23.9,2026-04-16T10:00:00,export
NEW-0061,40,7.5,2026-04-28T16:00:00,import
NEW-0062,40,17.7,2026-05-06T11:00:00,import
NEW-0063,20,20.1,2026-05-10T14:00:00,import
NEW-0064,20,27.8,2026-04-16T03:00:00,export
NEW-0065,40,21.4,2026-04-16T01:00:00,import
NEW-0066,20,15.5,2026-04-15T10:00:00,import
NEW-0067,20,25.6,2026-04-27T00:00:00,import
NEW-0068,20,14.5,2026-05-04T01:00:00,import
NEW-0069,40,16.5,2026-04-20T04:00:00,import
NEW-0070,20,27.5,2026-04-11T05:00:00,export
NEW-0071,20,21.7,2026-05-01T18:00:00,transshipment
NEW-0072,20,13.1,2026-04-17T15:00:00,transshipment
NEW-0073,20,15.2,2026-05-09T12:00:00,transshipment
NEW-0074,20,26.0,2026-05-09T22:00:00,import
NEW-0075,40,19.1,2026-04-16T21:00:00,export
NEW-0076,20,23.5,2026-05-10T14:00:00,transshipment
NEW-0077,20,9.6,2026-05-09T18:00:00,import
NEW-0078,20,27.7,2026-04-15T10:00:00,transshipment
NEW-0079,40,12.7,2026-04-21T00:00:00,export
NEW-0080,40,11.8,2026-04-22T02:00:00,import
NEW-0081,20,11.5,2026-04-23T20:00:00,transshipment
NEW-0082,20,29.0,2026-04-23T07:00:00,import
NEW-0083,20,7.3,2026-05-02T03:00:00,export
NEW-0084,20,8.1,2026-04-27T07:00:00,export
NEW-0085,20,16.9,2026-05-03T22:00:00,transshipment
NEW-0086,40,14.4,2026-04-24T11:00:00,export
NEW-0087,20,5.3,2026-05-10T10:00:00,import
NEW-0088,20,27.4,2026-05-04T21:00:00,import
NEW-0089,20,26.4,2026-04-29T23:00:00,import
NEW-0090,40,7.2,2026-04-12T03:00:00,transshipment
NEW-0091,40,17.3,2026-04-12T17:00:00,export
NEW-0092,40,23.7,2026-04-21T02:00:00,import
NEW-0093,20,8.6,2026-04-15T17:00:00,transshipment
NEW-0094,40,8.4,2026-04-30T06:00:00,export
NEW-0095,20,27.2,2026-04-17T19:00:00,transshipment
NEW-0096,20,25.6,2026-04-14T06:00:00,export
NEW-0097,40,13.6,2026-04-23T12:00:00,transshipment
NEW-0098,40,11.9,2026-05-10T16:00:00,export
NEW-0099,40,8.4,2026-04-30T17:00:00,export
NEW-0100,20,26.9,2026-04-18T11:00:00,transshipment
NEW-0101,20,11.5,2026-04-17T17:00:00,transshipment
NEW-0102,40,5.9,2026-04-14T07:00:00,import
NEW-0103,20,24.4,2026-05-03T06:00:00,import
NEW-0104,20,24.8,2026-04-14T02:00:00,import
NEW-0105,40,27.2,2026-04-26T23:00:00,export
NEW-0106,20,19.4,2026-04-20T19:00:00,export
NEW-0107,20,17.4,2026-05-04T10:00:00,import
NEW-0108,40,23.2,2026-04-15T07:00:00,transshipment
NEW-0109,20,23.5,2026-04-14T23:00:00,transshipment
NEW-0110,40,10.7,2026-05-08T14:00:00,transshipment
NEW-0111,20,21.9,2026-05-01T20:00:00,transshipment
NEW-0112,20,12.7,2026-04-24T01:00:00,import
NEW-0113,20,21.8,2026-04-28T05:00:00,import
NEW-0114,20,27.8,2026-04-14T11:00:00,import
NEW-0115,40,22.9,2026-04-26T08:00:00,transshipment
NEW-0116,40,17.7,2026-04-12T07:00:00,export
NEW-0117,20,24.4,2026-05-07T05:00:00,transshipment
NEW-0118,20,15.9,2026-04-22T14:00:00,transshipment
NEW-0119,20,29.5,2026-05-04T02:00:00,transshipment
NEW-0120,20,26.2,2026-05-08T04:00:00,transshipment
NEW-0121,40,14.5,2026-04-26T19:00:00,transshipment
NEW-0122,40,18.5,2026-04-19T20:00:00,import
NEW-0123,20,18.4,2026-04-18T23:00:00,transshipment
NEW-0124,20,28.8,2026-05-01T00:00:00,import
NEW-0125,40,23.2,2026-04-25T04:00:00,export
NEW-0126,20,23.3,2026-05-04T00:00:00,import
NEW-0127,20,27.5,2026-04-25T03:00:00,export
NEW-0128,20,26.7,2026-04-16T19:00:00,import
NEW-0129,20,18.7,2026-04-26T16:00:00,export
NEW-0130,20,14.1,2026-04-26T21:00:00,import
NEW-0131,40,23.7,2026-04-18T05:00:00,import
NEW-0132,20,26.5,2026-04-30T21:00:00,import
NEW-0133,20,19.0,2026-05-01T19:00:00,transshipment
NEW-0134,40,16.3,2026-05-09T21:00:00,export
