id,size,weight,departure_time,type,slot
SNAP-0000,20,12.3,2026-05-06T21:00:00,transshipment,C-012-L-01
SNAP-0001,20,17.7,2026-04-11T22:00:00,import,D-003-B-01
SNAP-0002,20,13.2,2026-04-24T18:00:00,import,D-023-H-01
SNAP-0003,20,29.8,2026-04-23T11:00:00,transshipment,D-003-C-01
SNAP-0004,20,13.4,2026-04-28T21:00:00,import,B-007-F-01
SNAP-0005,20,11.4,2026-04-19T03:00:00,transshipment,B-010-B-01
SNAP-0006,40,15.6,2026-04-12T06:00:00,import,B-011-L-01
SNAP-0007,40,6.6,2026-04-22T22:00:00,transshipment,D-020-E-01
SNAP-0008,20,27.4,2026-04-26T13:00:00,export,D-013-J-01
SNAP-0009,40,5.5,2026-05-06T13:00:00,export,A-002-K-01
SNAP-0010,40,21.4,2026-04-18T10:00:00,export,C-011-I-01
SNAP-0011,40,21.4,2026-04-11T14:00:00,transshipment,C-007-G-01
SNAP-0012,40,27.1,2026-04-26T11:00:00,import,D-005-C-01
SNAP-0013,20,24.3,2026-04-25T03:00:00,export,D-010-G-01
SNAP-0014,20,17.1,2026-05-03T01:00:00,export,D-014-E-01
SNAP-0015,20,7.6,2026-05-02T18:00:00,transshipment,C-016-G-01
SNAP-0016,20,5.5,2026-05-02T22:00:00,import,C-013-H-01
SNAP-0017,40,21.9,2026-04-11T23:00:00,transshipment,A-006-C-01
SNAP-0018,20,9.7,2026-05-08T17:00:00,transshipment,B-014-J-01
SNAP-0019,40,9.6,2026-05-01T17:00:00,import,A-003-D-01
SNAP-0020,20,25.2,2026-04-27T08:00:00,import,B-006-H-01
SNAP-0021,20,10.2,2026-05-10T21:00:00,export,A-010-C-01
SNAP-0022,40,10.4,2026-04-11T00:00:00,export,D-016-C-01
SNAP-0023,40,20.0,2026-04-24T12:00:00,import,D-001-E-01
SNAP-0024,40,14.2,2026-04-26T05:00:00,import,B-020-E-01
SNAP-0025,40,12.0,2026-05-04T15:00:00,export,D-008-E-01
SNAP-0026,40,10.8,2026-04-30T12:00:00,transshipment,A-004-D-01
SNAP-0027,40,9.7,2026-05-02T12:00:00,transshipment,A-023-I-01
SNAP-0028,40,10.1,2026-04-25T12:00:00,import,A-024-A-01
SNAP-0029,40,17.0,2026-04-21T18:00:00,import,B-024-D-01
SNAP-0030,40,26.2,2026-04-17T16:00:00,transshipment,D-022-J-01
SNAP-0031,20,29.4,2026-04-19T05:00:00,import,B-012-F-01
SNAP-0032,40,17.7,2026-05-08T12:00:00,export,A-015-L-01
SNAP-0033,20,28.3,2026-04-16T08:00:00,import,C-021-K-01
SNAP-0034,40,26.4,2026-04-22T06:00:00,transshipment,D-019-L-01
SNAP-0035,40,26.8,2026-04-12T02:00:00,import,A-011-E-01
SNAP-0036,20,10.8,2026-04-26T03:00:00,import,B-015-B-01
SNAP-0037,20,8.6,2026-05-10T01:00:00,export,A-021-G-01
SNAP-0038,40,10.6,2026-04-16T06:00:00,import,A-004-C-01
SNAP-0039,20,21.5,2026-05-07T03:00:00,import,B-018-K-01
SNAP-0040,40,26.5,2026-05-01T05:00:00,transshipment,B-008-K-01
SNAP-0041,40,21.1,2026-04-28T02:00:00,transshipment,D-024-D-01
SNAP-0042,20,28.6,2026-04-21T21:00:00,transshipment,D-016-H-01
SNAP-0043,20,20.4,2026-05-02T08:00:00,export,D-012-H-01
SNAP-0044,40,27.4,2026-05-03T21:00:00,export,D-018-H-01
SNAP-0045,20,5.3,2026-05-05T10:00:00,import,A-008-A-01
SNAP-0046,40,18.2,2026-04-23T06:00:00,export,D-006-D-01
SNAP-0047,40,17.7,2026-05-06T22:00:00,export,D-003-K-01
SNAP-0048,20,10.2,2026-04-17T07:00:00,import,C-019-H-01
SNAP-0049,20,6.2,2026-05-02T11:00:00,transshipment,D-022-G-01
SNAP-0050,40,14.4,2026-05-01T09:00:00,transshipment,B-017-H-01
SNAP-0051,20,9.4,2026-04-18T19:00:00,export,B-008-C-01
SNAP-0052,40,12.9,2026-04-27T18:00:00,export,D-009-K-01
SNAP-0053,20,27.4,2026-04-12T11:00:00,transshipment,B-002-K-01
SNAP-0054,40,7.8,2026-05-03T23:00:00,import,B-007-L-01
SNAP-0055,20,23.6,2026-04-27T13:00:00,import,C-021-A-01
SNAP-0056,20,23.8,2026-05-01T05:00:00,import,A-022-F-01
SNAP-0057,20,20.7,2026-04-25T12:00:00,export,C-018-F-01
SNAP-0058,20,9.3,2026-04-23T19:00:00,export,D-012-H-02
SNAP-0059,40,20.8,2026-04-26T06:00:00,import,B-019-J-01
SNAP-0060,20,18.4,2026-04-21T08:00:00,transshipment,C-020-A-01
SNAP-0061,40,27.6,2026-05-05T00:00:00,import,A-017-A-01
SNAP-0062,40,21.2,2026-05-10T06:00:00,import,D-004-D-01
SNAP-0063,20,19.6,2026-04-16T21:00:00,transshipment,A-010-E-01
SNAP-0064,20,23.5,2026-05-08T03:00:00,export,D-009-H-01
