id,weight,type,departure_time,size
CMAU0019402,11.64,transshipment,2026-03-09T20:00:00,20
MRKU6795270,25.55,import,2026-03-11T10:00:00,40
MRKU7143165,22.45,transshipment,2026-03-19T22:00:00,40
TCKU8382152,13.85,export,2026-03-22T22:00:00,40
MRKU9519774,20.22,export,2026-03-13T18:00:00,40
MSCU3086636,9.35,export,2026-03-24T12:00:00,20
TLLU3099203,22.41,import,2026-03-19T22:00:00,40
CMAU7099248,17.27,export,2026-03-07T22:00:00,40
CMAU4552120,20.63,export,2026-03-20T14:00:00,20
TLLU2986039,18.33,import,2026-03-05T20:00:00,20
TLLU1827839,21.69,import,2026-03-15T18:00:00,20
MRKU2832716,15.76,import,2026-03-21T18:00:00,40
TCKU7194468,25.4,import,2026-03-21T18:00:00,20
TCKU7295349,16.53,import,2026-03-14T14:00:00,40
CMAU5196639,15.24,export,2026-03-16T22:00:00,40
MRKU7126261,26.3,import,2026-03-12T20:00:00,40
CMAU3247157,11.9,import,2026-03-24T18:00:00,40
MRKU0907449,5.77,export,2026-03-08T10:00:00,40
MSCU1891568,14.07,export,2026-03-15T22:00:00,40
TLLU2610809,20.05,transshipment,2026-03-23T06:00:00,40
CMAU6732094,16.86,import,2026-03-21T18:00:00,20
CMAU5731722,28.77,transshipment,2026-03-17T16:00:00,40
MSCU0642763,15.78,import,2026-03-22T10:00:00,40
CMAU1741105,22.51,import,2026-03-25T20:00:00,40
TLLU8010263,14.58,import,2026-03-21T06:00:00,40
MRKU6716705,25.7,import,2026-03-13T22:00:00,20
MSCU3835888,16.51,export,2026-03-20T10:00:00,20
CMAU8620433,7.34,export,2026-03-18T20:00:00,40
CMAU2652486,25.48,transshipment,2026-03-15T14:00:00,40
TCKU1945930,21.79,import,2026-03-18T18:00:00,40
TLLU4512330,14.34,import,2026-03-24T22:00:00,40
TCKU4161014,26.9,import,2026-03-12T12:00:00,40
CMAU9392134,9.28,import,2026-03-24T20:00:00,20
MSCU7821532,24.43,transshipment,2026-03-16T14:00:00,20
CMAU7283273,10.26,import,2026-03-09T14:00:00,40
MRKU7967221,13.72,import,2026-03-09T08:00:00,40
TLLU3570692,26.24,import,2026-03-16T08:00:00,40
MRKU2176218,17.32,export,2026-03-15T14:00:00,20
CMAU2686279,8.49,transshipment,2026-03-07T10:00:00,20
CMAU3594209,7.58,export,2026-03-07T18:00:00,20
TCKU0119575,25.14,import,2026-03-23T06:00:00,40
TLLU9087314,9.9,import,2026-03-17T10:00:00,40
TCKU5103921,14.15,export,2026-03-24T10:00:00,40
CMAU5232654,6.09,export,2026-03-17T14:00:00,20
CMAU4928537,26.19,import,2026-03-08T22:00:00,40
MSCU0359639,11.51,import,2026-03-13T10:00:00,40
TCKU4521292,23.69,import,2026-03-15T08:00:00,40
MSCU0639137,11.38,import,2026-03-20T16:00:00,20
TLLU5088863,9.91,transshipment,2026-03-06T06:00:00,20
CMAU8378473,22.42,transshipment,2026-03-16T16:00:00,40
TLLU4997220,10.19,import,2026-03-23T22:00:00,40
MRKU9124096,16.88,import,2026-03-13T10:00:00,40
CMAU3309483,20.69,import,2026-03-24T10:00:00,40
TLLU0149102,14.78,export,2026-03-12T10:00:00,40
