🌊 Démarrage du moteur de placement OPTIMAL Spark...
👀 Surveillance de : hdfs://localhost:9000/marsa_maroc/bronze/streaming
📦 Batch 0 : Traitement de 369 nouveaux conteneurs...
  ✅ MRKU6188674 placé en D-021-B-04
  ✅ CMAU9055558 placé en D-020-C-04
  ✅ MRKU1681796 placé en B-022-B-04
  ✅ CMAU4138974 placé en D-023-A-04
  ✅ MRKU2600694 placé en D-019-D-04
  ✅ TCKU3077070 placé en B-021-C-04
  ✅ TLLU0584848 placé en B-024-A-04
  ✅ TLLU8287913 placé en D-022-B-04
  ✅ MRKU7574812 placé en B-020-D-04
  ✅ MRKU0428956 placé en D-018-E-04
  ✅ CMAU8670250 placé en D-021-C-04
  ✅ MRKU1876591 placé en D-017-F-04
  ✅ MRKU9806848 placé en D-024-A-04
  ✅ CMAU0465152 placé en B-023-B-04
  ✅ MSCU7278150 placé en D-020-D-04
  ✅ CMAU7914603 placé en B-019-E-04
  ✅ TLLU9163780 placé en D-016-G-04
  ✅ MSCU2675249 placé en D-023-B-04
  ✅ MRKU7423284 placé en D-019-E-04
  ✅ CMAU7739949 placé en B-022-C-04
  ✅ MRKU7690944 placé en B-018-F-04
  ✅ MSCU9242871 placé en D-015-H-04
  ✅ MRKU0014589 placé en D-022-C-04
  ✅ TCKU2119410 placé en B-021-D-04
  ✅ TLLU7494829 placé en B-017-G-04
  ✅ TLLU9187797 placé en B-024-B-04
  ✅ TLLU4214767 placé en B-020-E-04
  ✅ MSCU4956102 placé en D-018-F-04
  ✅ MSCU0081820 placé en D-014-I-04
  ✅ TCKU6501892 placé en B-016-H-04
  ✅ TCKU0655743 placé en D-021-D-04
  ✅ TCKU2423846 placé en B-023-C-04
  ✅ CMAU8036383 placé en D-017-G-04
  ✅ TCKU4721704 placé en D-024-B-04
  ✅ MSCU6498438 placé en D-013-J-04
  ✅ MSCU2435081 placé en B-019-F-04
  ✅ MSCU9940846 placé en D-020-E-04
  ✅ MSCU8956139 placé en D-016-H-04
  ✅ TCKU9839677 placé en B-015-I-04
  ✅ TCKU7499116 placé en B-022-D-04
  ✅ CMAU0031688 placé en B-018-G-04
  ✅ CMAU5619715 placé en D-023-C-04
  ✅ TLLU8925406 placé en D-012-K-04
  ✅ TLLU7392057 placé en D-019-F-04
  ✅ MSCU1720012 placé en B-014-J-04
  ✅ MSCU5211138 placé en D-015-I-04
  ✅ MRKU4690253 placé en B-021-E-04
  ✅ CMAU5404504 placé en D-022-D-04
  ✅ CMAU2866431 placé en B-017-H-04
  ✅ MSCU4846910 placé en D-011-L-04
  ✅ MSCU9908833 placé en B-024-C-04
  ✅ MSCU2849098 placé en B-013-K-04
  ✅ TCKU8771380 placé en D-018-G-04
  ✅ MRKU6985883 placé en B-020-F-04
  ✅ MRKU8879686 placé en D-014-J-04
  ✅ TCKU2674829 placé en D-021-E-04
  ✅ TCKU5145958 placé en D-017-H-04
  ✅ TLLU8654235 placé en D-024-C-04
  ✅ TCKU4976287 placé en D-013-K-04
